"","x","y","z","cluster_1___.pro..cambium","cluster_0___epidermis","cluster_2___cortex","cluster_3___dividing.cells","cluster_5___S.phase.cells","cluster_11___epidermis.dividing","cluster_8___xylem.parenchyma","cluster_6___dividing.cells","cluster_10___epidermis.dividing","cluster_4___floral.meristem","cluster_9___epidermis","cluster_7___mesophyll","cluster_12___phloem"
"797","76.3014","60.6193","37.277",0.100201780362624,0.214958188197967,0.12842656355558,0.110961299787492,0.0906279026892857,0.0368633841691199,0.0240671618867344,0.03906216674785,0.061647714641888,0.113180098513271,0.0315846585580016,0.0387134164282289,0.00970963938377798
"798","77.6592","56.8676","37.6705",0.0981199758097467,0.21626216317178,0.129039104261714,0.110968123746684,0.08904392834232,0.0375142490218747,0.0235000706184983,0.0394494609203127,0.0619937765123811,0.114034849983241,0.0315367590701156,0.038921219446643,0.00961787979577768
"799","98.8035","29.435","37.316",0.0946965535217064,0.230926064226039,0.120760378456664,0.108519165867398,0.0882573024629294,0.0388838116778571,0.0214569999708269,0.0417029806272352,0.0638678842693925,0.106229687049238,0.0363828270107149,0.0392484575487717,0.00905876479439486
"800","11.3724","44.9647","40.3425",0.0919056086867161,0.232891633247089,0.124381914244555,0.108484360483046,0.0873270621729337,0.0380066975740766,0.0214343535433335,0.0403399909123805,0.0634542353950722,0.104388932865323,0.0372145823756709,0.0409896580313614,0.00917995124061708
"801","17.8276","47.0739","38.8542",0.0948334113651525,0.226612013483592,0.125027667906736,0.109916652155887,0.088435576469991,0.0374636481423738,0.021556930855948,0.0403174111640159,0.0623506699416376,0.10777914775342,0.0355469923498368,0.0411067235943734,0.0090521171683137
"802","40.1683","40.127","34.7873",0.101041538741214,0.214440085138301,0.130214267924568,0.111358040570094,0.0904109796592644,0.0364707204618391,0.023524085111042,0.0384260727824395,0.0613458117943362,0.111481692437223,0.0329275321197967,0.0387267397956785,0.0096324455941454
"803","43.2992","43.5438","38.2574",0.0984378959123225,0.21470230167805,0.12996696127721,0.111153132537003,0.0893434372189612,0.0372800613350716,0.0236904209407933,0.0390649118577888,0.06184360428743,0.114978444516225,0.0308939158840985,0.0389264901818561,0.00971366967947027
"805","71.1096","26.0187","39.317",0.0981758374041248,0.216536050187661,0.127897109011308,0.111082524210797,0.0907584046751471,0.0372441025212679,0.0229917145114572,0.0390381482499647,0.0620405508000331,0.113318725970935,0.031426176051575,0.0399512391439097,0.00952865349590042
"806","76.204","33.0113","36.8038",0.0971163486155089,0.217696074129683,0.132180322876747,0.109788804285839,0.0889682058987297,0.037452982747209,0.0231847859722977,0.0379520827530472,0.0608719524953769,0.112594463043847,0.0319998789979557,0.0404664166989063,0.00971622812976347
"808","46.037","26.1408","39.1013",0.0976699641359774,0.218156168183683,0.126747078359885,0.110901205328369,0.0908475152867644,0.0375410187992819,0.0225751463248403,0.0393457906836365,0.0624477725849601,0.11255212453918,0.0319227007435036,0.0397903162792189,0.00950602625695337
"809","64.6427","28.5661","37.7366",0.10106559683486,0.21405012653066,0.130503218601792,0.111399342705606,0.0904786430258932,0.0364187492038524,0.0235799406751089,0.0382662440415614,0.061373563477274,0.111789472484282,0.0327092961439785,0.0387029133004039,0.0096682636966423
"811","93.4194","22.8482","37.5696",0.0890520668049749,0.24067939901891,0.122896439130728,0.106373410372147,0.0861981107877351,0.0383235072580586,0.0214411020744363,0.0397103381873017,0.0636430314849007,0.101745942592619,0.0389065861604296,0.0416309642097262,0.00940885476665447
"812","48.009","33.6931","41.0426",0.101337242329209,0.212741686227281,0.131283219538377,0.111544321653282,0.0907289777223919,0.0362390974330539,0.0237370350181538,0.0379480594132975,0.0612579602297675,0.112589049609949,0.0321409168202484,0.0387001552739889,0.00974824478871006
